"age";"UnkownColumn";"temperature";"uncertainty";"uncertainty-1";"nonReliabletemperature"
81.564;18.5;NA;12.466;9.546;11.006
510.358;100;NA;14.444;11.524;12.984
692.364;84.5;NA;16.783;13.863;15.323
840.436;71.5;NA;15.562;12.642;14.102
998.719;106;NA;16.701;13.781;15.241
1372.067;186;NA;16.363;13.443;14.903
1548.869;158.5;14.002;15.462;12.542;NA
1853.238;126;14.023;15.483;12.563;NA
2105.95;169.5;14.121;15.581;12.661;NA
2358.663;114.5;14.704;16.164;13.244;NA
2733.034;101;13.778;15.238;12.318;NA
2930.479;67;13.342;14.802;11.882;NA
3325.37;97;14.748;16.208;13.288;NA
3773.681;130;14.015;15.475;12.555;NA
3956.362;88.5;14.179;15.639;12.719;NA
4356.889;113.5;13.539;14.999;12.079;NA
4646.5;105.5;13.745;15.205;12.285;NA
4951.969;172;15.932;17.392;14.472;NA
5974.2;77;16.709;18.169;15.249;NA
6494.175;68;13.955;15.415;12.495;NA
6970.345;119.5;16.053;17.513;14.593;NA
7355.172;81;15.307;16.767;13.847;NA
7594.047;130;16.27;17.73;14.81;NA
7653.016;84;16.521;17.981;15.061;NA
7711.984;122;14.164;15.624;12.704;NA
7770.953;64.5;13.906;15.366;12.446;NA
7829.922;193;15.38;16.84;13.92;NA
7888.891;63;15.113;16.573;13.653;NA
7947.859;136.5;14.772;16.232;13.312;NA
8004.438;55;15.668;17.128;14.208;NA
8049.062;245;15.273;16.733;13.813;NA
8093.688;113;14.863;16.323;13.403;NA
8138.312;66;15.041;16.501;13.581;NA
8182.938;232;15.953;17.413;14.493;NA
8227.562;61;15.005;16.465;13.545;NA
8272.188;110;15.592;17.052;14.132;NA
8316.812;98;14.752;16.212;13.292;NA
8540;194;15.585;17.045;14.125;NA
8648;66;14.55;16.01;13.09;NA
8761.1;187;15.014;16.474;13.554;NA
8839.9;104;14.572;16.032;13.112;NA
9105.611;79;14.896;16.356;13.436;NA
9240.167;45;15.705;17.165;14.245;NA
9259.389;135;15.564;17.024;14.104;NA
9491;45;14.229;15.689;12.769;NA
9543.235;132;14.593;16.053;13.133;NA
9699.941;112;14.724;16.184;13.264;NA
10057.599;169;13.881;15.341;12.421;NA
10267.769;102;14.185;15.645;12.725;NA
10407.883;80;15.224;16.684;13.764;NA
10477.939;109;15.587;17.047;14.127;NA
10683.133;60;13.613;15.073;12.153;NA
10742.333;66;15.471;16.931;14.011;NA
10979.133;74;14.551;16.011;13.091;NA
11215.933;54.5;16.367;17.827;14.907;NA
11446.537;70;15.43;16.89;13.97;NA
11671.632;87;14.663;16.123;13.203;NA
11771.674;26;NA;15.407;12.487;14.002
11896.726;100;13.872;15.332;12.412;NA
12094.379;46.5;13.24;14.7;11.78;NA
12207.483;69.5;13.228;14.688;11.768;NA
12433.69;24.5;NA;16.512;13.592;14.023
12546.793;55.5;15.543;17.003;14.083;NA
12659.897;54.5;15.571;17.031;14.111;NA
12773;35.5;14.923;16.383;13.463;NA
12892;66;14.093;15.553;12.633;NA
13048;77;14.056;15.516;12.596;NA
13204;87;15.15;16.61;13.69;NA
13440;23.5;NA;15.737;12.817;14.121
13620;26;NA;18.535;15.615;14.704
13705.171;34.5;17.665;19.125;16.205;NA
13790.341;16;NA;14.041;11.121;13.778
13875.512;56;13.473;14.933;12.013;NA
13960.683;15;NA;15.177;12.257;13.342
14131.024;26;NA;17.712;14.792;14.748
14306;28;NA;14.621;11.701;NA
14484.286;43;14.453;15.913;12.993;NA
14669.048;38.5;12.341;13.801;10.881;NA
14851.905;53;13.512;14.972;12.052;NA
15034.762;108.5;11.048;12.508;9.588;NA
15126.19;59;13.388;14.848;11.928;NA
15309.048;72.5;11.248;12.708;9.788;NA
15491.905;132;14.112;15.572;12.652;NA
15674.762;25.5;NA;11.261;8.341;14.015
15857.619;13;NA;12.439;9.519;14.179
16192.857;33.5;NA;10.262;7.342;13.539
