"age";"JulyT"
11154;15.1852
11165;15.5018
11176;15.4794
11186;15.3019
11199;14.6628
11213;15.1372
11230;14.5615
11239;14.6321
11251;14.4207
11264;14.4174
11279;15.084
11292;14.7259
11305;14.5988
11326;14.5413
11348;14.3438
11363;14.6737
11375;14.9246
11392;15.0488
11406;16.0427
11422;14.755
11437;14.8135
11445;15.0231
11455;15.587
11465;14.7563
11474;15.3022
11480;15.6874
11487;15.3333
11493;15.1283
11501;15.7443
11508;14.4726
11516;15.6149
11527;15.6727
11536;15.823
11546;15.6509
11556;15.2044
11567;15.5522
11579;16.1105
11587;15.2647
11598;15.8497
11605;15.6173
11612;15.993
11646;15.4301
11685;15.8032
11734;15.5465
11774;15.679
11824;15.7691
11869;15.2918
11915;15.8038
11950;16.3035
11998;15.0602
12036;15.3874
12079;14.7603
12106;16.7916
12151;15.1943
12194;15.5361
12234;15.7732
12276;14.7711
12304;14.8763
12334;15.0965
12355;15.1253
12376;14.8542
12406;14.5011
12437;15.0907
12475;15.6567
12504;15.6005
12516;14.7261
12533;15.1939
12545;14.8698
12556;15.2674
12568;14.9986
12579;15.8953
12598;16.1079
12616;15.9592
12633;16.0277
12651;16.234
12665;17.2548
12683;16.6389
12692;15.5726
12709;16.0968
12721;16.0139
12728;15.4693
12741;14.7631
12749;15.3289
12770;14.4422
12785;14.1184
12806;15.1733
12824;15.0184
12837;15.0734
12855;14.822
12874;15.432
12895;15.8319
12902.1;14.5618
12918;15.3921
12934.8;14.7041
12948;14.4025
12966.4;15.6517
12982;14.9623
12997.5;16.4253
13015;16.3446
13029.2;16.7016
13054;15.4628
13063.7;16.2858
13082;16.2202
13102.9;15.9598
13107;16.3314
13127;14.9791
13143;15.5654
13146.2;15.8848
13165;15.6847
13179;15.7735
13191.7;14.8571
13201;15.3612
13217;15.6032
13232;15.1695
13237.1;15.9381
13244;13.8563
13255;14.7986
13266;15.0125
13282.1;14.8889
13286;15.1881
13304.6;14.918
13327.3;15.4671
13349.8;15.6161
13372.1;16.0937
13383;15.3531
13394;15.8531
13405;15.1118
13415.1;15.4833
13426;14.5832
13435.3;16.3074
13438;15.3427
13454.4;15.1229
13472.7;14.8609
13490.2;15.1065
13507.4;14.9288
13524.4;15.4256
13541.7;15.4892
13559.5;15.2001
13577.6;15.0571
13596;15.4526
13614.2;14.1907
13632;15.3394
13649.1;15.1855
13665.4;13.6858
13680.5;14.2576
13695.6;14.7377
13709.3;14.7132
13722.4;15.2328
13734.9;14.7016
13747.5;14.1382
13774.3;13.4955
13804.8;12.7625
13821.2;13.7252
13837.8;13.0502
13966.6;13.7773
13999.9;14.4544
14032.5;13.4345
14064.1;13.6075
14079.6;14.4286
14095;14.9711
14134.1;14.1853
14158.8;15.1714
14175.8;13.8328
14193.1;13.4886
14228.1;13.5204
14263;13.3106
14296.9;13.9738
14329.2;13.9897
14359.4;12.2742
14388.1;13.4455
14395.1;13.3481
14402.1;13.0388
14409;12.4317
14415.9;12.5646
14422.7;13.1031
14436.2;12.7174
14449.7;13.0565
14463.35;12.5566
14477.25;13.1094
14491.7;13.8552
14506.9;14.1797
14514.7;13.2392
14531.6;13.0524
14540.1;12.8467
14558.05;12.3139
14567.2;12.3514
14576.6;11.5064
14586;11.8535
14595.5;11.354
14605;12.253
14614.45;11.9457
14623.9;11.4894
14633.2;11.8312
14642.5;11.6545
14648.5;11.415
14654.8;10.932
14670.3;11.7943
14679.5;10.7188
14697.9;11.8504
14734.6;11.3342
14779.25;11.3535
14805.1;10.4876
14838.6;11.3405
14855.1;11.0911
14871.5;11.2149
14887.9;11.336
14919.8;10.3448
14951.1;11.6027
14984.1;11.3629
15020.8;11.2914
15058.8;10.1907
15094.6;12.2729
15128.5;10.6046
15162.9;10.5327
15233.2;11.5306
15268.2;10.8897
15302;10.1638
