"Age varve BC";"Herbs";"TreesShrubs"
11007.9208;9.1414;90.8586
11047.9522;12.4406;87.5594
11114.6713;10.1311;89.8689
11151.3667;10.461;89.539
11214.7499;15.7398;84.2602
11291.4768;12.1107;87.8893
11374.8756;9.80119999999999;90.1988
11418.243;19.039;80.961
11451.6026;21.3484;78.6516
11484.9621;28.6067;71.3933
11514.9857;28.6067;71.3933
11555.0171;24.3177;75.6823
11585.0407;27.9469;72.0531
11608.3924;39.4941;60.5059
11641.7519;35.865;64.135
11678.4474;44.4429;55.5571
11711.8069;41.8036;58.1964
11751.8384;43.7831;56.2169
11781.8619;53.0209;46.9791
11811.8855;43.4532;56.5468
11841.9091;52.0311;47.9689
11918.636;50.3815;49.6185
11948.6596;58.9595;41.0405
11998.6989;49.3918;50.6082
12032.0584;51.7012;48.2988
12062.082;57.9697;42.0303
12098.7775;71.4965;28.5035
12132.137;62.9185;37.0815
12158.8247;50.3815;49.6185
12178.8404;54.0107;45.9893
12208.864;69.517;30.483
12235.5516;55.0004;44.9996
12278.919;57.6398;42.3602
12305.6066;51.7012;48.2988
12318.9504;57.6398;42.3602
12335.6302;54.0107;45.9893
12368.9897;54.0107;45.9893
12395.6774;47.0823;52.9177
12435.7088;58.6296;41.3704
12455.7245;50.0516;49.9484
12469.0683;58.6296;41.3704
12499.0919;51.3713;48.6287
12522.4436;57.3099;42.6901
12549.1312;64.8981;35.1019
12572.4829;47.4122;52.5878
12589.1627;50.7114;49.2886
12612.5143;40.4839;59.5161
12632.5301;58.6296;41.3704
12662.5536;61.5988;38.4012
12679.2334;44.4429;55.5571
12722.6008;33.8855;66.1145
12769.3041;25.6374;74.3626
12782.648;21.0185;78.9815
12819.3434;19.3689;80.6311
12869.3827;38.5044;61.4956
12912.7501;34.8752;65.1248
12949.4456;43.1233;56.8767
12989.4771;36.1949;63.8051
13022.8366;40.4839;59.5161
13076.2119;22.9981;77.0019
13106.2354;29.2666;70.7334
13156.2747;29.5965;70.4035
13192.9702;23.328;76.672
13239.6736;24.6477;75.3523
13259.6893;26.9571;73.0429
13283.041;41.4736;58.5264
13316.4005;42.1335;57.8665
13346.4241;34.8752;65.1248
13366.4398;38.8343;61.1657
13379.7836;53.6807;46.3193
13393.1274;45.1028;54.8972
13423.151;53.6807;46.3193
13436.4948;37.1847;62.8153
13456.5105;50.7114;49.2886
13473.1903;42.7933;57.2067
13489.8701;45.7626;54.2374
13513.2217;41.4736;58.5264
13529.9015;46.4225;53.5775
13546.5813;28.9366;71.0634
13563.2611;42.7933;57.2067
13586.6127;26.9571;73.0429
13609.9644;52.3611;47.6389
13626.6442;43.4532;56.5468
13646.6599;51.0414;48.9586
13660.0037;29.5965;70.4035
13693.3632;53.6807;46.3193
13713.379;64.2382;35.7618
13733.3947;76.1154;23.8846
13773.4261;81.3941;18.6059
13786.7699;65.8878;34.1122
13830.1373;43.4532;56.5468
13863.4969;46.7524;53.2476
13880.1766;39.824;60.176
13896.8564;53.6807;46.3193
13926.88;40.4839;59.5161
13940.2238;58.2996;41.7004
13970.2474;60.939;39.061
13990.2631;49.0618;50.9382
14010.2788;72.8162;27.1838
14030.2945;64.5681;35.4319
14046.9743;68.1973;31.8027
14070.326;66.8776;33.1224
14090.3417;54.3406;45.6594
14110.3574;77.4351;22.5649
14147.0529;76.4453;23.5547
14163.7327;82.7138;17.2862
14177.0765;63.9083;36.0917
14197.0922;78.4248;21.5752
14227.1158;75.4555;24.5445
14240.4596;82.3839;17.6161
14260.4753;83.0437;16.9563
14273.8191;77.4351;22.5649
14300.5068;80.0744;19.9256
14313.8506;72.4863;27.5137
14353.882;75.4555;24.5445
14370.5618;85.0233;14.9767
14383.9056;78.0949;21.9051
14397.2494;84.0335;15.9665
14410.5932;78.4248;21.5752
14437.2808;78.7548;21.2452
14457.2966;85.0233;14.9767
14480.6482;78.0949;21.9051
14500.664;85.3532;14.6468
14527.3516;84.0335;15.9665
14544.0313;79.4146;20.5854
14574.0549;78.4248;21.5752
14594.0706;84.0335;15.9665
14607.4145;73.476;26.524
14630.7661;79.4146;20.5854
