"Age varve yr BP";"Pinus%"
11023.403;38.0797
11054.1964;50.5998
11078.1468;33.6807
11112.3618;22.1758
11149.9982;24.5445
11180.7916;33.3424
11218.428;40.11
11245.7999;44.8473
11286.8578;39.4332
11324.4942;45.8624
11379.238;59.0593
11413.4529;52.2917
11454.5108;43.8322
11485.3042;37.7413
11522.9406;37.4029
11553.734;26.9131
11577.6845;23.5293
11601.6349;28.9434
11625.5854;23.5293
11639.2713;27.9283
11656.3788;18.792
11683.7507;14.0546
11700.8581;21.1606
11721.3871;16.4233
11741.916;21.499
11762.445;20.4839
11779.5524;15.0698
11806.9244;12.7011
11837.7178;17.1001
11865.0897;19.1304
11899.3046;20.8223
11919.8335;17.4385
11947.2055;19.4687
11988.2634;25.898
12005.3708;19.8071
12036.1642;26.5747
12056.6932;17.1001
12084.0651;10.6708
12097.7511;14.393
12128.5445;17.7768
12145.6519;27.2515
12169.6024;16.0849
12196.9743;20.8223
12210.6603;16.4233
12244.8752;23.5293
12265.4041;14.393
12299.619;21.8374
12333.8339;18.4536
12357.7844;22.5142
12381.7348;17.7768
12412.5282;25.898
12439.9001;18.1152
12457.0076;23.5293
12474.115;17.4385
12515.1729;15.4082
12566.4953;23.8677
12600.7102;27.5899
12614.3962;33.004
12634.9251;22.8526
12672.5615;34.0191
12699.9334;29.6202
12754.6773;39.4332
12785.4707;29.9585
12823.1071;20.8223
12836.793;24.2061
12874.4294;21.1606
12912.0658;24.8828
12946.2807;21.1606
12980.4957;19.4687
13028.3965;23.5293
13072.8759;15.0698
13110.5123;14.393
13168.6776;20.1455
13185.7851;12.3627
13213.157;14.0546
13254.2149;10.3325
13291.8513;14.393
13308.9588;8.6406
13339.7522;7.287
13360.2811;4.9184
13380.8101;8.6406
13394.496;5.2567
13469.7688;3.5648
13514.2482;4.2416
13534.7771;1.5346
13551.8846;5.2567
13582.678;1.5346
13616.8929;3.9032
13640.8434;1.1962
13681.9012;2.5497
13722.9591;1.8729
13750.3311;3.2265
13774.2815;1.8729
13818.7609;2.2113
13900.8766;1.5346
13972.7279;1.5346
14017.2073;1.1962
14044.5792;2.8881
14092.4801;1.5346
14164.3314;1.1962
14229.3397;1.1962
14273.8191;1.1962
14311.4555;4.58
14335.406;1.5346
14386.7283;1.5346
14410.6787;4.2416
14455.1581;10.3325
14485.9515;13.7163
14513.3235;8.9789
14554.3814;12.3627
14571.4888;8.6406
14592.0178;13.3779
14615.9682;19.8071
14639.9186;15.0698
14657.0261;7.9638
